problem_no,sub_id,stem,correct,explanation
103-25-4,3,投資による儲けの度合いは一般にリターンと呼ばれている。そのリターンはもっぱら投資対象となる不動産の規模や金額の大きさにより決まってくる。,FALSE,不動産投資のリターンは当該資産に対する投資リスクの高低により概ね決まってくる
103-25-4,4,不動産投資におけるオポチュニティの1つとして、出口価格の上昇、すなわち将来の物件売却時の価格が上昇する可能性を挙げることができる。,TRUE,その通りです。不動産投資におけるオポチュニティの1つとして、出口価格の上昇、すなわち将来の物件売却時の価格が上昇する可能性を挙げることができる。
103-25-5,1,不動産のタイプによって求められる専門性やリスク特性が異なるため、 投資する不動産のタイプを限定することはリスクマネジメントの1つの方策である。,TRUE,その通りです。不動産のタイプによって求められる専門性やリスク特性が異なるため、 投資する不動産のタイプを限定することはリスクマネジメントの1つの方策です。
103-25-5,2,商業施設の場合、100%歩合賃料で契約するよりも固定賃料又は固定＋歩合賃料形式の方がリスク軽減策となりうる。,TRUE,その通りです。商業施設の場合、100%歩合賃料で契約するよりも固定賃料又は固定＋歩合賃料形式の方がリスク軽減策となりうる。
103-25-5,3,適正な管理仕様を維持することは、テナント満足度を高めるだけでなく、事故の発生軽減などの効果があり、リスク軽減策の1つである。,TRUE,その通りです。適正な管理仕様を維持することは、テナント満足度を高めるだけでなく、事故の発生軽減などの効果があり、リスク軽減策の1つです。
103-25-5,4,建物設備・什器備品などに関する法改正やリコール情報を定期的に収集することは、リスク軽減策の1つである。,TRUE,その通りです。建物設備・什器備品などに関する法改正やリコール情報を定期的に収集することは、リスク軽減策の1つです。
103-25-6,1,アセットマネジャーの使命は投資家の利益を最大化することであり、投資家が出資する資金を原資として不動産投資事業を行い、不動産を所有するヴィークルを経営する役割を担うものである。,TRUE,その通りです。アセットマネジャーの使命は投資家の利益を最大化することであり、投資家が出資する資金を原資として不動産投資事業を行い、不動産を所有するヴィークルを経営する役割を担うものです。
103-25-6,2,アセットマネジメント業務の遂行に際しては様々な法令を順守する必要があり、一般にアセットマネジメント会社は金融商品取引法上の金融商品取引業者としての登録が必要である。,TRUE,その通りです。アセットマネジメント業務の遂行に際しては様々な法令を順守する必要があり、一般にアセットマネジメント会社は金融商品取引法上の金融商品取引業者としての登録が必要です。
103-25-6,3,ファンドを組成しようとする場合、投資家の趣向や投資資金の性格にあったファンドを組成すべきであり、コアファンドとは、安定的な利益配当を趣向する投資家に適合するファンドである。,TRUE,その通りです。ファンドを組成しようとする場合、投資家の趣向や投資資金の性格にあったファンドを組成すべきであり、コアファンドとは、安定的な利益配当を趣向する投資家に適合するファンドです。
103-25-6,4,アセットマネジャーが立案した投資戦略に基づき、具体的に遂行するのがプロパティマネジャーの役割であり、テナント管理はプロパティマネジャーの業務領域であるが、キャッシュフローに影響を及ぼす重要な場合では、アセットマネジャーも関与する場合がある。,TRUE,その通りです。アセットマネジャーが立案した投資戦略に基づき、具体的に遂行するのがプロパティマネジャーの役割であり、テナント管理はプロパティマネジャーの業務領域であるが、キャッシュフローに影響を及ぼす重要な場合では、アセットマネジャーも関与する場合がある。
103-25-7,1,GK-TKスキームにおいて口座の階層は信託口座・メイン口座・リリース口座の3階層に分けられており、固定資産税・法人税・消費税などSPCの全ての公租公課の支払いは信託口座レベルで行う。,FALSE,口座の階層は記載の通りだが、公租公課は全て信託口座から支払われるのではなく、法人税・消費税の納付はメイン口座から支払われる
103-25-7,2,メイン口座では、 レンダーへの元利金の支払いや会計事務委託報酬、鑑定評価書取得費用などのストラクチャー維持に必要な支払いを行うほか、それらの費用のリザーブを行う。,TRUE,その通りです。メイン口座では、 レンダーへの元利金の支払いや会計事務委託報酬、鑑定評価書取得費用などのストラクチャー維持に必要な支払いを行うほか、それらの費用のリザーブを行う。
103-25-7,3,年度資金計画において計画していた工事が予算を超過する場合、レンダーの承諾が必要となることがあるので、工事の発注前にローン契約を確認するなどして必要な手続きを確認する必要がある。,TRUE,その通りです。年度資金計画において計画していた工事が予算を超過する場合、レンダーの承諾が必要となることがあるので、工事の発注前にローン契約を確認するなどして必要な手続きを確認する必要がある。
103-25-7,4,一定の期間に高額の工事を多数実施すると、 DSCRテストに抵触したり未払い配当が生じることがあるため、予め修繕積立金を増額したり、工事の実施時期を分散するなどの手当てが必要である。,TRUE,その通りです。一定の期間に高額の工事を多数実施すると、 DSCRテストに抵触したり未払い配当が生じることがあるため、予め修繕積立金を増額したり、工事の実施時期を分散するなどの手当てが必要です。
103-25-8,1,売却方針について、ビジネスプランの達成状況を確認するとともに、今後の金融情勢や不動産マーケットの状況などを考慮し策定した。,TRUE,その通りです。売却方針について、ビジネスプランの達成状況を確認するとともに、今後の金融情勢や不動産マーケットの状況などを考慮し策定した。
103-25-8,2,売却に向けた準備において、取得候補者から受けた質問をその当事者に回答し、他の取得候補者にその質疑内容を共有しなかった。,FALSE,公平性を確保するために質問者以外にも質疑内容を開示すべきである
103-25-8,3,入札の結果、 提示価格が最も高い取得候補者において取引成立の確実性に疑義があったため、確実性の高い次点の候補者に優先交渉権を付与した。,TRUE,その通りです。入札の結果、 提示価格が最も高い取得候補者において取引成立の確実性に疑義があったため、確実性の高い次点の候補者に優先交渉権を付与した。
103-25-8,4,信託受益権の売却先を決定する際、レンダーには事前に譲渡先を告知し承諾を取得したが、信託受託者には告知しなかった。,FALSE,前段のレンダー承諾の必要性は正しいが、後段の信託受託者への告知をしなかった点が誤り。信託受託者へも同様に必要となる
103-25-9,1,平均募集賃料は、実際の成約金額とは乖離がなく、市場の動向を常に正確に反映している。,FALSE,平均募集賃料は、成約賃料との価格差やサンプリングバイアスなどの問題がある
103-25-9,2,成約賃料の情報を入手できれば、これにより常にマーケットプライスを正確に把握することができる。,FALSE,成約賃料は、関連会社との取引やフリーレントが長く付いていたなどの個別事情が絡んでいる場合があり、このときはマーケットプライス（市場賃料/市場価格）とは異なる価格形成が行われた可能性があるので注意が必要である
103-25-9,3,鑑定価格は、市場の大きな変化に対しても遅れることなく迅速に価格変動を捉えることのできる指標である。,FALSE,鑑定価格は、市場の大きな変化への遅れが指摘されている
103-25-9,4,成約売買事例には、関連会社間の取引であったなどの事情が絡んでいる場合もあり、参考にする場合には注意が必要である。,TRUE,その通りです。成約売買事例には、関連会社間の取引であったなどの事情が絡んでいる場合もあり、参考にする場合には注意が必要です。
103-25-10,1,空室率の算出基準は公表機関によって異なり、比較する際はその特性を理解することが重要である。,TRUE,その通りです。空室率の算出基準は公表機関によって異なり、比較する際はその特性を理解することが重要です。
103-25-10,2,オフィスストックが拡大している場合、空室率が同じ水準であっても、市場全体の空室面積は減少する傾向にある。,FALSE,空室率が一定でも、ストックの増減によって市場の空室面積の総量は変わる可能性がある。オフィスストックが拡大している場合は、同じ空室率の時には空室面積は増える
103-25-10,3,空室率は稼働面積をオフィス貸室総面積で除した（割った）もので、オフィスの需要と供給の影響を受ける。,FALSE,空室率は、空室面積を貸室総面積で除した（割った）ものである
103-25-10,4,新築ビルの空室率は、 算出の際に竣工後12ヶ月間は算出対象外とされるため、市場動向の指標としては用いられない。,FALSE,テキストで用いた新築ビルの空室率は、 「12ヶ月を超えると算出対象から外れる」ものであるが、 「市場動向の指標としては用いられない」訳ではなく、指標の特徴を理解した上での活用は有用である
103-25-11,1,地価公示は、国土交通省土地鑑定委員会が毎年 1月1日時点の標準的な土地の価格を判定して公示するものである。,TRUE,その通りです。地価公示は、国土交通省土地鑑定委員会が毎年 1月1日時点の標準的な土地の価格を判定して公示するものです。
103-25-11,2,都道府県地価調査は、都道府県知事が標準的な土地の価格を判定して公表するもので、 林地・リゾート地なども対象としている。,TRUE,その通りです。都道府県地価調査は、都道府県知事が標準的な土地の価格を判定して公表するもので、 林地・リゾート地なども対象としている。
103-25-11,3,相続税路線価は国税庁が算定し、公示地価の8割程度が目安とされる。,TRUE,その通りです。相続税路線価は国税庁が算定し、公示地価の8割程度が目安とされる。
103-25-11,4,固定資産税評価は毎年見直しが行われ、評価水準の目安は公示地価の7割程度とされる。,FALSE,固定資産税評価は、3 年ごとに見直され、公示地価の7 割程度とされる
103-25-12,1,商業施設は、入居テナントである小売業者等の支払う賃料は固定賃料であるため、施設運営の巧拙に関わらず賃料収入が安定している。,FALSE,商業施設では、固定賃料だけでなく、入居店舗の売上に応じた売上歩合賃料が導入されることがある。そのため、商業施設の賃料収入は施設の管理運営（オペレーション）の巧拙に大きく左右される
103-25-12,2,商業施設の需給バランスは、空室部分を特定しやすいことからオフィスと同様に全国的な空室率データが整備されており、これを基に把握することができる。,FALSE,商業施設では、マスターリースや一時的な催事が行われている場合などには空室部分を特定しづらいことなどから空室面積を集計するのが難しい。なお、オフィス市場ほど全国的・体系的な空室率データはない
103-25-12,3,売上歩合賃料は、 入居テナントの売上が落ちると賃料収入が減少するため、賃貸側の所有者にとっては不安定な要素となる。,TRUE,賃貸側の所有者にとっては、売上歩合賃料の場合は店舗テナントの売上が増加すれば賃料も増加するが、売上が下落すると賃料が減少するため、賃貸収入の変動が大きく不安定になってしまう
103-25-12,4,近年の小売事業者は大型店舗の新規出店によるマーケットシェア拡大を最優先戦略としている。,FALSE,小売事業者の戦略において新規出店による売上高・マーケットシェアアップという企業規模の拡大が主流であったのは、2000 年代初頭までである
103-25-13,1,不動産のデューデリジェンスにおける法的調査は、私法関係調査と公法関係調査に大別されるが、投資リターンに直接影響を及ぼす可能性があるのは後者である。,FALSE,法的調査は私法・公法関係の両面から行われ、双方ともに投資リターンに影響を及ぼす可能性がある
103-25-13,2,建物の敷地利用権が借地権の場合、物権である地上権であっても、債権である賃借権であっても、売買時の手続きやコストに差異はないため、投資価値への影響も同等であると判断される。,FALSE,権利の安定性、売買時の手続きやコストが異なる等、価格に影響があることに注意を要する
103-25-13,3,不動産登記簿謄本の乙区に根抵当権が設定されている場合、その極度額は債務者が実際に借り入れている残債務額を厳密に反映しているため、別途残債務額を確認する必要はない。,FALSE,根抵当権が設定されている場合は、極度額と実際の借り入れ残額と異なる場合が多いので、注意を要する
103-25-13,4,賃貸借契約の更新を行い長期間入居しているテナントの場合、契約始期の契約書に加え、変更契約書や覚書等も徴求し、過去の条件変更の経緯を詳細に確認することが必要である。,TRUE,その通りです。賃貸借契約の更新を行い長期間入居しているテナントの場合、契約始期の契約書に加え、変更契約書や覚書等も徴求し、過去の条件変更の経緯を詳細に確認することが必要です。
103-25-14,1,一般的要因の分析は、抽象的、形式的になり、地域分析や個別分析に比べて軽視されがちであるが、不動産全般の価格形成に影響を与えるマクロ的要因であるため、投資価値判断の基礎として十分な調査が不可欠である。,TRUE,その通りです。一般的要因の分析は、抽象的、形式的になり、地域分析や個別分析に比べて軽視されがちであるが、不動産全般の価格形成に影響を与えるマクロ的要因であるため、投資価値判断の基礎として十分な調査が不可欠です。
103-25-14,2,感度分析は、予想を立てる際、ある要素が変化した時に、最終的なキャッシュフローにどの程度の影響を与えるかをみる分析手法である。また、シナリオ分析とは、戦略立案する上で、リスク要因に対処するため、複数の異なる条件で戦略を分析する手法である。,TRUE,その通りです。感度分析は、予想を立てる際、ある要素が変化した時に、最終的なキャッシュフローにどの程度の影響を与えるかをみる分析手法である。また、シナリオ分析とは、戦略立案する上で、リスク要因に対処するため、複数の異なる条件で戦略を分析する手法です。
103-25-14,3,多数の不動産を所有するファンドの場合、プロパティマネジメントや建物維持管理、火災保険等に係る契約を一括して締結することで経費削減を図るケースがあるため、対象不動産単独の管理に要する費用を把握することが必要である。,TRUE,その通りです。多数の不動産を所有するファンドの場合、プロパティマネジメントや建物維持管理、火災保険等に係る契約を一括して締結することで経費削減を図るケースがあるため、対象不動産単独の管理に要する費用を把握することが必要です。
103-25-14,4,賃貸用不動産の市場動向調査では、対象不動産と同種・同等の不動産の市場賃料や稼働率、新規供給量を確認することは重要であるが、テナントの平均的な入居期間や退去時の平均的な空室期間は、個別の賃貸借契約の条件に強く依存するため、市場全体の動向としては調査の対象外である。,FALSE,「市場全体の動向としては調査の対象外である」が誤り。テナントの平均入居期間や空室期間は、市場全体の安定性や収益性に影響を与える重要な市場動向の指標である
103-25-15,1,オペレーショナルアセットとは、賃貸用不動産に限定されず、その収益性が当該不動産が供される事業の経営動向に強く影響を受けるものを指し、ホテルやゴルフ場、医療施設などがその典型例である。,TRUE,その通りです。オペレーショナルアセットとは、賃貸用不動産に限定されず、その収益性が当該不動産が供される事業の経営動向に強く影響を受けるものを指し、ホテルやゴルフ場、医療施設などがその典型例です。
103-25-15,2,ホテルの事業形態において、 「所有直営方式」はオーナーが全てのリスクを負うため、ハイリスク・ハイリターンであると同時に、経営の自由度が最も高い方式である。,TRUE,その通りです。ホテルの事業形態において、 「所有直営方式」はオーナーが全てのリスクを負うため、ハイリスク・ハイリターンであると同時に、経営の自由度が最も高い方式です。
103-25-15,3,ホテルの個別的要因分析では、賃借人やホテルマネジメント会社のブランド、ホスピタリティ、有名度、固定客の有無といった要素を重要視することは少ない。,FALSE,賃借人、ホテルマネジメント会社のブランド、実力（ホスピタリティ、有名度、固定客の有無）はホテルの個別的要因として挙げられており、これらは収益性に大きく影響するため、 「重要視することは少ない」は誤りとなる
103-25-15,4,オペレーショナルアセットにおける総収益把握の留意点として、現に賃貸借に供されている場合でも、現行賃料と事業採算性の観点から把握した適正賃料水準との乖離について分析を行うことは、現行賃料が負担能力を超過しているか否かの検証に有用である。,TRUE,テキストでも「現に賃貸借に供されている場合においても、現行の賃貸借契約における賃料と、事業採算性の観点から把握した適正な賃料水準との関係について分析を行うことが有用である。」と述べている通り、これは賃料改定やテナント管理戦略に繋がる有用な分析となる
103-25-16,1,"設問の前提条件で直接還元法を適用した収益価格は9,810,000,000円である。",TRUE,"純収益392,280,000円を還元利回り4.0%で割ると、収益価格は9,807,000,000円となり、指定どおり上3桁未満を四捨五入すると9,810,000,000円です。"
103-25-17,1,"設問の前提条件で保有期間5年のDCF法を適用した収益価格は911,000,000円である。",TRUE,"純収益の現在価値合計216,000,000円と復帰価格の現在価値694,839,600円の合計は910,839,600円です。上3桁未満を四捨五入すると911,000,000円となります。"
103-25-18,1,アスベスト（レベル1）について過去の分析調査報告書により3 種類のアスベストの含有が無い結果が出ているため、アスベストの問題は無いものと判断した。,FALSE,"現時点ではアスベストは6 種類とされており、法改正前の3 種類のみではアスベスト含有が無いとは言い切れない各項目数値計算方法貸室賃料収入 504,000,000 円賃貸可能面積 × 月額貸室賃料単価 × 12ヶ月共益費収入 63,000,000 円賃貸可能面積 × 月額共益費単価 × 12ヶ月共益費込み貸室賃料収入 567,000,000 円貸室賃料収入 ＋ 共益費収入空室等損失 22,680,000 円共益費込み貸室賃料収入 × 4.0%運営収益 544,320,000 円共益費込み貸室賃料収入 - 空室等損失運。"
103-25-18,2,低濃度PCB廃棄物の処理期限は2027年3月31日までである。,TRUE,その通りです。低濃度PCB廃棄物の処理期限は2027年3月31日までです。
103-25-18,3,主な調査項目・対象はアスベスト含有建材及びPCBであるが、委託者の要請により「鉛含有塗料」や「ラドンガス」などの「留意項目」もある。,TRUE,その通りです。主な調査項目・対象はアスベスト含有建材及びPCBであるが、委託者の要請により「鉛含有塗料」や「ラドンガス」などの「留意項目」もある。
103-25-18,4,アスベストやPCBのスコープで問題点が指摘された場合、サンプリング採取とその試料検体の成分分析・材料試験等（フェーズⅡ）調査を必ず行う。,FALSE,フェーズⅡ調査は問題点の明確化と解決策のために行われるオプション調査であり、 「必ず」行う訳ではない
103-25-19,1,経年劣化に対して機能維持をするための修繕・更新費用であり、緊急を要する修繕更新費用・短期修繕更新費用を含む。,FALSE,緊急を要する修繕更新費用・短期修繕更新費用を含まない
103-25-19,2,調査対象建物は平日日中に使用しているため休日および夜間工事を前提に算出した。,FALSE,中・長期修繕更新費用は一般的な工法による施工を前提に査定するため、夜間・休日工事など個別の施工条件は通常考慮しません。
103-25-19,3,建築時点及び現状の建物の性能を維持する前提で作成され、機能や性能の向上などの要因は考慮されない。,TRUE,その通りです。建築時点及び現状の建物の性能を維持する前提で作成され、機能や性能の向上などの要因は考慮されない。
103-25-19,4,修繕更新費用は安い方が良いため希望金額をER作成者に指定して依頼した。,FALSE,修繕更新費用は単に安ければよいものではありません。建物の機能・価値を維持するために必要な工事項目と妥当な費用を客観的に査定します。
103-25-20,1,築年が浅く、図面や検査済証など必要書類は全て揃っていると判断されたため、現地調査は行わず机上調査としてエンジニアリングレポート作成者に委託した。,FALSE,原則として現地調査なしのレポートはあり得ない
103-25-20,2,立ち入れる範囲で調査を許可された部分について行うサンプリング調査（抜取り調査）である。,TRUE,その通りです。立ち入れる範囲で調査を許可された部分について行うサンプリング調査（抜取り調査）です。
103-25-20,3,現地調査において設備が機能しているか確認できない場合には、目視調査だけでなく試験運転を行うことが一般的である。,FALSE,目視調査およびヒアリング調査を基本とする
103-25-20,4,調査対象建物の設備に詳しい施設管理者の立会いを求めた。,TRUE,現地調査においてヒアリング調査は重要である
103-25-21,1,プロパティマネジメントとは、ビルオーナーを代行して、建物管理・テナント管理を一括して行うことで収益と資産価値の最大化を図る業務である。,TRUE,その通りです。プロパティマネジメントとは、ビルオーナーを代行して、建物管理・テナント管理を一括して行うことで収益と資産価値の最大化を図る業務です。
103-25-21,2,テナント誘致や契約管理もプロパティマネジメント業務の一環として実施される。,TRUE,その通りです。テナント誘致や契約管理もプロパティマネジメント業務の一環として実施される。
103-25-21,3,建物ごとの築年数や用途、立地条件は、不変で固定的なものであり、こうした変化を前提として管理する必要はない。,FALSE,不動産は、築年数や用途、立地条件等の様々な要因の組合せにより特有のリスクが形成され、こうした要因は常に変化するものである。プロパティマネジャーには刻々と変化するリスクを的確にコントロールすることが求められる
103-25-21,4,プロパティマネジメント業務のうち「運営業務」は、建物や建物設備を適切に保全していく運営中のハード面の対応を指す。,FALSE,記述されているハード面の保全は建物管理業務です。運営業務は、テナント対応や収支管理など建物運営に関する実務を指します。
103-25-22,1,建物の管理運営計画では、テナントや建物利用者の快適性や安全性の提供が主要な目的の一つである。,TRUE,その通りです。建物の管理運営計画では、テナントや建物利用者の快適性や安全性の提供が主要な目的の一つです。
103-25-22,2,事後保全は、必ずしもリスクの高い対応とは限らず、状況によっては意図的に選択されることもある。,TRUE,その通りです。事後保全は、必ずしもリスクの高い対応とは限らず、状況によっては意図的に選択されることもある。
103-25-22,3,年間維持管理計画は、月次点検などを含む定期的な点検計画である。,TRUE,その通りです。年間維持管理計画は、月次点検などを含む定期的な点検計画です。
103-25-22,4,コンバージョンは、既存用途のまま内装をリニューアルすることで市場価値を高める手法であり、テナントや利用者のニーズが変化した際に有効である。,FALSE,コンバージョンとは用途変更することである
103-25-23,1,定期建物賃貸借契約の特徴の一つは、契約の期間に関わらず賃貸人による賃借人に対する契約終了の事前通知義務がないことである。,FALSE,契約期間が1 年以上の場合には期間満了の1 年前から6 ヶ月前までの間に契約終了の通知が必要である
103-25-23,2,賃貸借契約の締結時には、館内規則や貸方基準などの書類も同時に交付される。,TRUE,その通りです。賃貸借契約の締結時には、館内規則や貸方基準などの書類も同時に交付される。
103-25-23,3,入居申込書は、契約条件の交渉に先立って入居希望テナントから提出されることが一般的である。,TRUE,その通りです。入居申込書は、契約条件の交渉に先立って入居希望テナントから提出されることが一般的です。
103-25-23,4,環境配慮を企業方針に掲げる企業は、環境認証の有無などをオフィスビル選定の判断基準にすることがある。,TRUE,その通りです。環境配慮を企業方針に掲げる企業は、環境認証の有無などをオフィスビル選定の判断基準にすることがある。
103-25-24,1,コスト管理とは、単なる支出削減ではなく、賃料や入居率に影響しうる建物の品質を維持しつつ、効率的な運営を目指すことである。,TRUE,その通りです。コスト管理とは、単なる支出削減ではなく、賃料や入居率に影響しうる建物の品質を維持しつつ、効率的な運営を目指すことです。
103-25-24,2,法定定期点検の実施内容や周期は建築基準法により全国で統一されている。,FALSE,自治体により周期や内容が異なるものもある
103-25-24,3,PMレポートは、キャッシュフローや入出金状況を含むビル経営状況の報告書であり、ビルオーナーが意思決定するための重要な資料となる。,TRUE,その通りです。PMレポートは、キャッシュフローや入出金状況を含むビル経営状況の報告書であり、ビルオーナーが意思決定するための重要な資料となります。
103-25-24,4,貸方基準におけるA工事とは、ビルの標準仕様に基づき、賃貸人が発注者となり、施工者を指定し、費用負担を行う工事であることが一般的である。,TRUE,その通りです。貸方基準におけるA工事とは、ビルの標準仕様に基づき、賃貸人が発注者となり、施工者を指定し、費用負担を行う工事であることが一般的です。
103-25-25,1,定期整備業務は各種設備機器の劣化状況の確認やモーターへのグリスアップ、ベルト交換などを行うもので、これらはすべて専門業者に委託して行う。,FALSE,専門業者に委託するほか設備管理員にて行う場合もある
103-25-25,2,日常清掃は、照明器具やブラインドなど建物全体の細部を対象とした清掃である。,FALSE,照明器具やブラインドなどを対象とするのは特別清掃です。日常清掃は、共用部の床清掃やごみ処理など日常的に行う作業を指します。
103-25-25,3,機械警備では、警備員の異常発生時の到着時間までは定められていないものの、どれだけ早く的確な判断や措置をするかが重要である。,FALSE,30 分以内（都内などの場合は25 分以内）に到着しなければいけないことが警備業法で定められている
103-25-25,4,プロパティマネジメントにおけるコンストラクションマネジメントは、修繕・改修工事の品質、工期、コストの最適化を通じた、ビルの価値の維持・向上を図るものである。,TRUE,その通りです。プロパティマネジメントにおけるコンストラクションマネジメントは、修繕・改修工事の品質、工期、コストの最適化を通じた、ビルの価値の維持・向上を図るものです。
103-25-26,1,物理リスクとは、具体的にはESG評価で低スコアを付けられることによって投資資金が引きあげられるリスクが挙げられる。,FALSE,ESG評価の低下により投資資金が引き揚げられるリスクは移行リスクです。物理リスクは、洪水・台風・猛暑など気候変動による直接的な損害を指します。
103-25-26,2,ネガティブスクリーニングとは、社会的責任投資の一種であり、環境や社会に対して高い評価を得ている企業を選別する手法である。,FALSE,選択肢はポジティブスクリーニングの説明である
103-25-26,3,GRESBの評価項目においては、保有物件単位での環境認証取得状況が加点対象となっている。,TRUE,その通りです。GRESBの評価項目においては、保有物件単位での環境認証取得状況が加点対象となっている。
103-25-26,4,GRIスタンダードは、企業の財務情報の開示に関する国際的な会計基準である。,FALSE,サステナビリティ報告（非財務情報）のために準拠する基準である
103-25-27,1,BELSは建築物省エネルギー性能表示制度であり、日本国内で運用されている制度である。,TRUE,その通りです。BELSは建築物省エネルギー性能表示制度であり、日本国内で運用されている制度です。
103-25-27,2,Energy Starは、環境保護庁（EPA）が運営している制度で、日本国内の建築物だけが対象となる。,FALSE,Energy Starは米国環境保護庁（EPA）が運営する国際的な省エネルギー制度で、対象は日本国内の建築物に限定されません。
103-25-27,3,同じ用途の建築物での比較において、BEI（Building Energy Index）の値が0.6の建築物は、0.5の建築物よりも省エネルギー性能が高いことを意味する。,FALSE,値が 1.0 より低くなるほど省エネルギー性能が高いため、BEI の値が 0.5 の建築物の方が、0.6 の建築物よりも省エネルギー性能が高いことを意味する
103-25-27,4,エンボディドカーボンは、CO₂排出のうち運用時に発生するもののみを対象とする。不動産投資の基礎105.不動産ファイナンスの基礎問題Course1 修了試験受験科目,FALSE,エンボディドカーボンは、建設資材の製造・調達、施工、改修、解体・廃棄など建物のライフサイクルで生じるCO₂を指します。運用時の排出だけではありません。
105-25-28,1,テキスト105「不動産ファイナンスの基礎」において、狭義の意味としてのファイナンスという言葉は、資金調達及び投資理論を含むものとして使用している。,FALSE,狭義のファイナンスの概念は資金調達のみを対象としている
105-25-28,2,不動産ファイナンスの代表的な形態であるノンリコースローンは、非遡及型ローンとも言われており、対象となる不動産からの収益や売却代金によって返済がなされるが、万一返済が滞った場合には、関係者である投資家や不動産投資顧問会社に対して残債権額の返済を求めるといったような保証を求めることが多い。,FALSE,ノンリコースローンが、非遡及型と言われるのは、事業主体のその他の資産のみならず、第三者による返済をも想定されていないことにある
105-25-28,3,不動産ファイナンスでは、仕組みを構築する際に、倒産隔離性を確保することが重要だと言われる。これは、当該事業主体にファイナンスを行っている債権者から見た場合に、第三者の債権者が出現しないための工夫であり、事業主体の株主への備えのためではない。,FALSE,事業主体（子会社）の直接の債権者ではなくとも、事業主体の株主（親会社）の債権者が、株主権を行使して、事業主体の債権者になる可能性があり、当該事業主体の株主への備えのためでもある
105-25-28,4,一般に不動産ファンドは投資期間が有限であるが、J-REITは期限の定めがない事業主体であることから、J-REITへのファイナンスにおいては継続企業であることを前提とした可否判断をする必要がある。,TRUE,J-REIT は継続企業を前提とした事業主体であり、必ずしもファイナンスの期限時に所有している不動産もしくは不動産信託受益権の売却によって返済がされるわけではない
105-25-29,1,サブプライム住宅ローン問題が拡大した大きな要因の一つは、証券化という金融技術の普及に伴って原資産のリスクが過度に分散した結果、リスクの所在や規模の特定が困難になったことである。その対応として、原資産などのリスクなどに関わる情報を確保・提供することでトレーサビリティを担保する仕組みが整備された。,TRUE,その通りです。サブプライム住宅ローン問題が拡大した大きな要因の一つは、証券化という金融技術の普及に伴って原資産のリスクが過度に分散した結果、リスクの所在や規模の特定が困難になったことである。その対応として、原資産などのリスクなどに関わる情報を確保・提供することでトレーサビリティを担保する仕組みが整備された。
